彩种,期数,方案ID,玩法Name,玩法Id,下注内容,投注金额,开奖号码,结果,派彩,返点
江苏快3,20180424015,21062018042401536qp2ekj,总和-和值-17,64114,17,4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qo2eki,"不同号-二不同号-3,4",62110,"3,4",4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qo2ekf,"不同号-二不同号-2,3",62106,"2,3",4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qo2eke,"同号-三同号-5,5,5",63105,"5,5,5",4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qo2ekb,同号-三同号-全骰,63107,全骰,4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qo2ek9,"不同号-二不同号-1,3",62102,"1,3",4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qo2ek8,"同号-三同号-4,4,4",63104,"4,4,4",4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qn2ek5,"同号-三同号-1,1,1",63101,"1,1,1",4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qn2ek4,"不同号-二不同号-3,6",62112,"3,6",4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qn2ek1,"不同号-二不同号-2,5",62108,"2,5",4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qn2ejv,"同号-二同号-5,5",63205,"5,5",4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qn2eju,"不同号-二不同号-1,2",62101,"1,2",4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qm2ejr,单骰-单骰-4,61104,4,4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qm2ejp,单骰-单骰-2,61102,2,4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qm2ejo,单骰-单骰-6,61106,6,4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qm2ejl,单骰-单骰-5,61105,5,4.0,,系统撤单,0.0,0.0
广东11选5,20180424012,210g2018042401236op2ejj,连码-一中一-4,42604,04,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236op2eji,连码-一中一-3,42603,03,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236op2ejf,直选-前三直选-前三直选,44201,"06,05,11",10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236op2ejd,连码-一中一-10,42610,10,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236oo2ejc,直选-前二直选-前二直选,44101,"05,04",10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236oo2ej9,连码-一中一-1,42601,01,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236oo2ej7,单号-第二球-2,42202,02,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236oo2ej6,单号-第三球-2,42302,02,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236oo2ej3,单号-第三球-3,42303,03,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236on2ej2,单号-第二球-11,42211,11,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236on2eiv,单号-第五球-10,42510,10,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236on2eit,单号-第五球-1,42501,01,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236on2eis,单号-第四球-10,42410,10,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236on2eip,单号-第五球-2,42502,02,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236on2ein,单号-第四球-3,42403,03,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236om2eim,两面-第三球-单,41303,单,10.0,,等待开奖,0.0,0.0
